speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
CANW,61,7170,Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,Catherpes mexicanus,1455,NULL,NULL,A,25:07.9
CAQU,45,2940,California Quail,Colin de Californie,Callipepla californica,Callipepla californica,103,NULL,NULL,A,25:08.1
CARW,61,7180,Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,Thryothorus ludovicianus,1469,NULL,NULL,A,25:08.2
CATE,21,640,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Hydroprogne caspia,607,NULL,NULL,A,25:08.3
CAVI,57,6291,Cassin's Vireo,Viréo de Cassin,Vireo cassinii,Vireo cassinii,1352,NULL,NULL,A,25:08.5
CAWA,58,6860,Canada Warbler,Paruline du Canada,Cardellina canadensis,Cardellina canadensis,2022,NULL,NULL,A,25:08.6
CBCH,7,7410,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Poecile rufescens,1437,NULL,NULL,A,25:08.7
CCLO,31,5380,Chestnut-collared Longspur,Plectrophane à ventre noir,Calcarius ornatus,Calcarius ornatus,1773,NULL,NULL,A,25:08.9
CCSP,49,5610,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,Spizella pallida,1829,NULL,NULL,A,25:09.0
CEDW,59,6190,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,Bombycilla cedrorum,1637,NULL,NULL,A,25:09.1
CERW,58,6580,Cerulean Warbler,Paruline azurée,Setophaga cerulea,Setophaga cerulea,1986,NULL,NULL,A,25:09.3
CHRE,16,5275,Unidentified Common/Hoary Redpoll,Sizerin non identifié,Acanthis sp.,Acanthis sp.,1755.999,NULL,NULL,A,25:09.4
CHSP,49,5600,Chipping Sparrow,Bruant familier,Spizella passerina,Spizella passerina,1828,NULL,NULL,A,25:09.5
CHSW,54,4230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Chaetura pelagica,259,NULL,NULL,A,25:09.7
CHUK,20,2882,Chukar,Perdrix choukar,Alectoris chukar,Alectoris chukar,113,NULL,NULL,A,25:09.8
